SBD,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,KHTN,Lịch sử,Địa lý,GDCD,KHXH
52000001,6.80,4.00,,,,,,5.00,6.00,,
52000002,7.40,7.50,7.20,7.00,8.25,5.75,7.00,,,,
52000003,5.80,5.00,,,,,,5.50,7.50,,
52000004,6.00,7.25,,,,,,4.75,7.50,,
52000005,7.80,7.25,8.60,5.75,5.25,6.50,5.83,,,,
52000006,7.00,7.25,5.40,5.00,7.25,5.75,6.00,,,,
52000007,7.00,6.00,7.80,4.75,5.75,4.25,4.91,,,,
52000008,8.00,6.75,8.00,7.25,7.50,6.75,7.16,,,,
52000009,7.00,7.50,7.80,,,,,7.50,7.00,9.50,8.00
52000010,7.80,6.25,7.80,,,,,6.50,8.00,9.25,7.91
52000011,6.20,7.41,6.00,5.75,4.25,5.75,5.25,,,,
52000012,7.40,8.00,8.80,,,,,5.25,7.00,9.00,7.08
52000013,7.00,6.00,6.20,,,,,6.75,7.25,8.50,7.50
52000014,6.60,7.00,7.40,,,,,6.50,6.25,8.75,7.16
52000015,6.00,6.00,4.00,,,,,4.75,6.50,8.00,6.41
52000016,6.60,7.00,5.80,6.50,6.75,4.75,6.00,,,,
52000017,6.80,7.25,6.00,,,,,5.00,6.75,9.25,7.00
52000018,7.20,7.25,5.60,,,,,2.75,5.75,8.75,5.75
52000019,6.40,4.00,6.80,4.75,4.50,3.75,4.33,,,,
52000020,6.60,6.75,6.40,,,,,4.75,8.00,9.75,7.50
52000021,7.80,5.75,7.20,6.00,7.00,4.75,5.91,,,,
52000022,6.80,5.25,,,,,,5.00,7.25,,
52000023,7.00,,,5.50,3.50,,,,,,
52000024,5.20,5.75,4.80,5.25,7.00,4.00,5.41,,,,
52000025,6.60,4.75,4.20,4.25,4.75,4.25,4.41,,,,
52000026,6.60,6.25,4.00,,,,,5.25,6.50,8.75,6.83
52000027,7.20,6.50,8.00,,,,,5.00,7.00,8.50,6.83
52000028,8.80,7.25,8.00,5.75,,,,,,,
52000029,5.40,7.25,6.20,,,,,4.00,6.00,7.25,5.75
52000030,7.40,8.25,7.60,,,,,7.00,7.00,9.00,7.66
52000031,5.40,7.25,4.80,,,,,3.50,6.75,7.50,5.91
52000032,7.00,7.25,7.20,5.75,5.75,4.25,5.25,,,,
52000033,6.00,6.25,8.20,,,,,5.75,7.75,9.75,7.75
52000034,6.40,5.75,,,,,,5.25,5.25,,
52000035,7.60,8.00,6.80,,,,,6.25,8.50,9.50,8.08
52000036,6.80,7.00,5.00,,,,,6.00,7.50,9.75,7.75
52000037,4.60,4.25,4.20,,,,,4.50,5.25,7.50,5.75
52000038,8.00,7.00,6.00,6.75,6.25,4.50,5.83,,,,
52000039,7.60,8.75,9.40,,,,,6.50,7.50,10.00,8.00
52000040,7.40,7.25,5.80,4.25,6.75,5.00,5.33,,,,
52000041,6.80,6.75,5.60,5.75,5.50,4.50,5.25,,,,
52000042,7.40,7.25,,,,,,6.25,8.50,,
52000043,5.80,5.75,6.20,5.00,7.25,5.00,5.75,,,,
52000044,7.20,6.75,4.00,,,,,6.00,7.00,7.75,6.91
52000045,7.80,7.50,4.00,5.25,5.50,5.50,5.41,,,,
52000046,6.80,8.00,8.80,5.50,5.25,4.25,5.00,,,,
52000047,6.40,7.00,5.80,5.00,5.75,4.00,4.91,,,,
52000048,7.40,8.00,9.40,6.00,7.50,6.75,6.75,,,,
52000049,6.00,7.50,7.60,,,,,5.50,7.00,8.75,7.08
52000050,7.40,7.25,7.80,7.00,7.50,7.00,7.16,,,,
52000051,6.80,7.00,7.40,,,,,5.00,7.25,7.75,6.66
52000052,7.20,7.25,5.80,,,,,6.00,7.75,8.50,7.41
52000053,7.00,8.00,8.00,,,,,4.75,8.75,9.50,7.66
52000054,7.40,7.50,7.20,6.00,7.00,4.50,5.83,,,,
52000055,6.60,7.50,6.80,,,,,3.75,5.25,8.25,5.75
52000057,5.00,6.50,,,,,,3.00,7.50,,
52000058,6.60,6.75,5.80,2.75,5.50,3.25,3.83,,,,
52000059,8.60,7.50,9.00,7.50,8.25,6.50,7.41,,,,
52000060,6.40,4.83,,,,,,1.75,6.00,,
52000061,8.60,7.50,8.60,6.25,6.50,6.25,6.33,,,,
52000062,7.20,6.25,7.40,,,,,6.50,6.00,7.50,6.66
52000063,6.40,7.00,5.40,,,,,2.50,6.75,6.50,5.25
52000064,6.80,8.00,8.60,,,,,5.25,7.75,9.25,7.41
52000065,6.80,5.50,5.40,,,,,4.00,6.00,6.50,5.50
52000066,6.60,5.00,,,,,,3.25,7.00,,
52000067,6.20,5.00,,,,,,5.25,7.00,,
52000068,6.60,5.50,,,,,,3.25,7.00,,
52000069,6.60,6.50,7.20,,,,,6.50,7.25,9.50,7.75
52000070,7.20,7.00,9.00,6.75,6.00,5.25,6.00,,,,
52000071,6.60,7.00,8.40,,,,,6.75,6.50,6.75,6.66
52000072,6.80,7.25,8.20,,,,,6.25,7.75,9.75,7.91
52000073,7.60,7.75,8.80,,,,,7.00,8.00,9.25,8.08
52000074,6.00,7.25,6.80,6.50,8.25,4.25,6.33,,,,
52000075,7.00,5.50,8.80,6.00,4.75,5.50,5.41,,,,
52000076,8.60,6.75,9.60,8.25,7.75,6.25,7.41,,,,
52000077,3.40,6.25,,,,,,4.50,7.00,,
52000078,4.80,7.00,7.00,,,,,5.25,7.25,9.50,7.33
52000079,5.60,5.50,,,,,,5.75,6.75,,
52000080,6.40,7.50,4.40,,,,,4.00,6.25,9.00,6.41
52000081,8.00,6.25,8.00,6.50,7.50,6.00,6.66,,,,
52000082,8.00,6.50,8.00,8.00,7.75,6.25,7.33,,,,
52000083,4.60,8.00,8.20,,,,,6.00,7.00,9.25,7.41
52000084,6.80,8.00,8.60,,,,,4.00,6.75,8.75,6.50
52000085,6.60,8.00,7.80,5.50,5.50,4.50,5.16,,,,
52000086,7.00,7.50,6.20,5.25,4.75,4.50,4.83,,,,
52000087,8.40,6.25,8.60,7.25,7.00,5.75,6.66,,,,
52000088,7.60,7.75,,,,,,8.50,7.75,,
52000089,7.80,8.50,9.60,,,,,4.50,7.00,9.00,6.83
52000090,7.00,7.75,8.60,,,,,5.00,7.50,9.50,7.33
52000091,7.80,7.25,6.20,6.75,5.25,4.50,5.50,,,,
52000092,5.60,6.25,4.20,5.00,5.00,4.50,4.83,,,,
52000093,6.00,7.00,5.60,,,,,8.00,9.25,8.75,8.66
52000094,8.00,5.50,9.60,7.00,6.25,6.25,6.50,,,,
52000095,7.60,8.25,5.60,7.00,7.25,6.50,6.91,,,,
52000096,6.20,6.00,5.60,4.75,5.25,4.75,4.91,,,,
52000097,4.80,4.00,5.00,,,,,3.75,7.00,8.00,6.25
52000098,7.00,7.00,5.40,,,,,5.00,7.75,9.00,7.25
52000099,5.80,5.75,4.40,,,,,6.00,7.00,9.25,7.41
52000100,7.00,6.25,4.60,7.50,6.75,4.50,6.25,,,,
52000101,8.40,5.50,6.60,6.25,5.50,4.50,5.41,,,,
52000102,8.80,,9.20,7.00,,,,,,,
52000103,7.20,6.00,4.00,,,,,3.75,5.75,7.25,5.58
52000104,8.00,5.25,8.40,5.25,6.75,7.25,6.41,,,,
52000105,7.60,6.50,4.40,6.75,7.00,6.50,6.75,,,,
52000106,6.40,6.00,8.40,,,,,,,,
52000107,6.40,7.75,8.80,,,,,6.25,8.25,9.25,7.91
52000108,6.20,7.25,6.40,,,,,5.50,7.00,9.00,7.16
52000109,7.20,8.00,7.40,,,,,7.25,7.25,8.75,7.75
52000110,6.40,8.25,5.80,,,,,4.25,6.50,9.00,6.58
52000111,6.40,7.50,8.40,6.00,7.00,5.00,6.00,,,,
52000112,8.00,6.50,4.40,7.75,7.50,4.50,6.58,,,,
52000113,6.00,5.75,4.40,,,,,5.50,5.75,8.00,6.41
52000114,8.20,6.75,8.40,5.25,5.75,5.25,5.41,,,,
52000115,6.60,7.25,6.80,,,,,6.50,7.75,9.00,7.75
52000116,5.00,6.25,,,,,,2.00,6.25,,
52000117,5.40,6.25,6.60,,,,,3.25,6.50,7.50,5.75
52000118,7.00,5.50,6.40,,,,,4.50,6.25,7.75,6.16
52000119,5.80,7.00,,,,,,2.25,5.75,,
52000120,6.20,6.00,6.20,5.25,6.75,5.00,5.66,,,,
52000121,6.00,5.50,,,,,,4.25,7.00,,
52000122,6.80,7.50,5.40,6.00,7.00,6.00,6.33,,,,
52000123,6.60,5.25,6.00,,,,,5.00,6.75,9.25,7.00
52000124,8.80,7.25,8.60,7.00,7.50,6.75,7.08,,,,
